"style-scope src","yt-simple-endpoint href","style-scope","yt-simple-endpoint","yt-simple-endpoint href 2","yt-core-attributed-string","style-scope 2","yt-core-attributed-string 3","yt-core-image src"
"https://yt3.ggpht.com/ytc/AIdro_m-tmluIP5kApqxBo3KoEv18Y9AEvJgfN7554bdbl8=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ryuzakil.1213","@ryuzakil.1213","hace 6 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=Ugyf6xp4PeiMQW_ZI0d4AaABAg","Para mi es la hazaña de supervivencia mas grande de  la era moderna, ese poder por resistirse a la muerte, atravesar todo ese trayecto sin ropa adecuada, sin alimentos, sin saber realmente a donde ir, con el único objetivo de vivir, Canessa y Parrado  son GRANDES","45","","https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f976.png"
"https://yt3.ggpht.com/ytc/AIdro_llvdxZ4ohwrlnVArLABX8xidmnSnhq3BndwySRkJyHtS4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@edcastilloromo","@edcastilloromo","hace 5 meses (editado)","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgyJ_U3m6VstwnHheYx4AaABAg","He visto infinidad de documentales… me leí el libro de  de Nando Parrado… vi la película mexicana y la gringa pero,esta de ven…años luz más fiel a la historia…","20","",""
"https://yt3.ggpht.com/ytc/AIdro_n9zlKoxjjvZFre_qNX4OnMNIFW4zzKaa2mp7sfQFafc3M=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@Aries6","@Aries6","hace 6 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgyNN-9DmxkBbvt5eOp4AaABAg","Impresionante, se merece el Oscar, sucedió en la vida real!","87","1 respuesta",""
"https://yt3.ggpht.com/ytc/AIdro_lKTymcxNN0uri_iUO2VdgjUkTeX15P1yKxm8AsGGxaWP4=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@genesisnoelynova2586","@genesisnoelynova2586","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgzXR8BbXcduhWuhhrt4AaABAg","Una de las mejores peliculas de la historia. Waooooo que fuerte lo que pasaron esas personas . Fue un milagro de Dios que hayan sobrevivido .","52","8 respuestas",""
"https://yt3.ggpht.com/ytc/AIdro_ln2gglFEJPd3CtBkyDrztGX-nPJhOK-IvKRFd4-eheCg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@matthiasfsa","@matthiasfsa","hace 5 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgzK6dRDT5-3TQbUc0l4AaABAg","Acabo de verla y me he quedado sin palabras.

No se la pierdan!!","21","",""
"https://yt3.ggpht.com/ytc/AIdro_lWXsSpiHii9-1KdlK9EAVc2QPFJGNtn2gMEYJszZasaA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@ramonanaya7711","@ramonanaya7711","hace 6 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=Ugym62v7AdfJ8cDTrWl4AaABAg","Sería un crimen no estrenar esto en cines.","63","2 respuestas",""
"https://yt3.ggpht.com/ytc/AIdro_nlxL02Mvho0HPUjm3_bsbetI7eysV5j4jSJKucbiby-xQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@alejandrom.delossantos748","@alejandrom.delossantos748","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgxITe59e2-teoPpm9F4AaABAg","La vi ayer en el Atlas Caballito. Es un peliculón desde todo punto de vista. Totalmente recomendable, sobre todo la experiencia de verla en un cine. La escena del avión es realmente impresionante. Y muy bien relatados los hechos. Si alguna vez viste Viven, esta película es superior en muchísimos aspectos. Totalmente recomendable!!! Saludos!!!","26","",""
"https://yt3.ggpht.com/jpnHYTrzGurh6II6NqCxLXRZl2q-i09ZBziMTHMhp50pfuAUzn75KPvrVAuxax4d_UHB8FnipA=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@cesaralbertobautistajulca6964","@cesaralbertobautistajulca6964","hace 5 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgyKACWeHiXr3E-ICdx4AaABAg","ayer la vi en los cines en Perú hermosa película un final como se debe a la historia","16","",""
"https://yt3.ggpht.com/ytc/AIdro_nmFVgpFbfs3adAS60Dubf586pI6QdSz0sYoUNHUBU=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@lilianamontiellopez4686","@lilianamontiellopez4686","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgyLDmfXWEqXo9H-ZZ54AaABAg","Es una pelicula que merece todos los premios , llore , grite , me enoje y alo ultimo super alegre al ver que llegaron y consigueron ayuda","10","","https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f622.png"
"https://yt3.ggpht.com/ytc/AIdro_lt533xpf8oWHFO9qtJLAOrzgCTo3xuOTzQEKlkwTg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@nathalyagomez3350","@nathalyagomez3350","hace 5 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=Ugy3wGKeej1JeFe_qLR4AaABAg","Una de las mejores películas que he visto en mucho tiempo. Mil respetos a todos.","20","",""
"https://yt3.ggpht.com/ytc/AIdro_mwSW3Wyz187YmZ7eK0Vu2IQKudQvDfeJV2TRohJrc=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@victoriacasanova8647","@victoriacasanova8647","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgxJQkdUsYjW-rHp9Sh4AaABAg","Si... tengo mis años... hoy se la comentaba a mi nieto, el aún no se atrevía a verla. 
Me recordaba cuando estaba la  noticias en Chile  ,todos los días en el diario veíamos que  noticias llegaban de éstos jóvenes perdidos en la nieve. 
Una pena grande por estos padres que nunca se rindieron ni abandonaron la Fe de encontrarlos. 
Todos chicos muy lindos y alegres. 
Bendición para cada uno de ellos.
Esto fue un Milagro..
No cabe duda.","6","",""
"https://yt3.ggpht.com/kGP3m6buv45bLTYlgRl_nDcG6nXdxn3641p-j2LiIJ_JuVB9QQmtZp6D9jKAKhgnnleNSSv00A=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@REY_DE_SCAR","@REY_DE_SCAR","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgztFm8IIcVO2bJi7SV4AaABAg","Como uruguayo excelente película y orgulloso por el reconocimiento","6","","https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f44f.png"
"https://yt3.ggpht.com/Fb9Ta_jEYQJb3v64tFYpfBWJi0QmXYKkfd6DpAy48TH5G2CikaTYlgAFHyyS0ZfMfna9G1GGtg=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@technos77","@technos77","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgxIc8vmFOO9Oqg7FNV4AaABAg","Desde Chile 🇨🇱 todo el aguante para nuestros hermanos Uruguayos 🇺🇾️","19","2 respuestas","https://www.youtube.com/s/gaming/emoji/7ff574f2/emoji_u1f4aa.png"
"https://yt3.ggpht.com/ytc/AIdro_meLtS1C8gl1i7ctdw977aqXq65ZlRYz3nJcpNHxhajLNpRpb2AVHlBghoDuIef2xu6gQ=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@user-xq2zi1mj6m","@user-xq2zi1mj6m","hace 4 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgwDHDESRtTYPCuwyHV4AaABAg","Chile 🇨🇱 en nuestro corazón siempre gracias por rescatar a nuestros chicos 🇺🇾🇨🇱","7","1 respuesta",""
"https://yt3.ggpht.com/376U-b_1GCRhA-VTN2T_OCBD0kmhTjXfUtTCfiY1XYFfKztVcqO3dyqrTcXYf5t_Yr_Ww5y85w=s88-c-k-c0x00ffffff-no-rj","https://www.youtube.com/@victorramosrobles9297","@victorramosrobles9297","hace 5 meses","https://www.youtube.com/watch?v=l9tP4M8URhQ&lc=UgyUDZ5sny48356VA954AaABAg","Acabo de ver la película, desgarradora, maravillosa, me ha encantado,me ha gustado mucho la voz en off de toda la película, creo que junto con la de Morgan Freeman en Cadena Perpetua son las 2 mejores del cine… “ustedes son la respuesta, sigan cuidándose unos a otros y cuentenle a todos los que hicimos en la montaña” no se puede cerrar mejor una película, es imposible, bravo Bayona","13","",""
